MCSFOpen,MCSFHigh,MCSFLow,MCSFClose,MCSFVolume
8.5722,9.1154,8.5472,9.1076,94275537.0
9.1001,9.1895,8.993,9.052,87874626.0
9.052,9.1306,8.9448,9.1154,67133759.0
9.1154,9.1154,8.7347,8.7427,77824681.0
8.7427,8.9448,8.6766,8.8724,107761224.0
8.8239,9.1076,8.7908,9.052,74039318.0
9.0252,9.1076,8.9702,9.0175,87846040.0
9.052,9.1895,9.0252,9.1716,63758492.0
9.1639,9.1716,8.8893,8.8893,78360100.0
8.9448,9.052,8.7752,8.799,63261544.0
8.8324,9.1076,8.7267,9.1001,63214277.0
9.0595,9.1473,8.9448,8.9448,65385658.0
8.8893,9.052,8.8893,8.9873,59416825.0
8.9365,9.1076,8.9126,9.0595,62538120.0
9.0747,9.1154,8.993,9.0015,84281669.0
9.1551,9.1716,8.993,9.0595,81099893.0
8.8893,8.9365,8.6376,8.799,153316349.0
8.7908,8.8893,8.6766,8.7347,111881912.0
8.7752,8.8324,8.4504,8.5472,117955194.0
8.4673,8.5075,7.9723,8.1991,255989387.0
8.2398,8.3125,8.0857,8.2154,123276468.0
8.2558,8.6056,8.2398,8.5722,111689504.0
8.6532,8.7427,8.2802,8.5235,129072692.0
8.4673,8.5964,8.2966,8.3371,128944051.0
8.1991,8.5235,8.1665,8.4833,119124986.0
8.4504,8.5158,8.2802,8.3693,87035751.0
8.2802,8.6766,8.2398,8.6532,126782565.0
