Date,Open,High,Low,Close,Volume
2015-05-07,41.968,42.711,41.878,42.367,36343055
2015-05-08,43.145,43.531,43.111,43.32,38981485
2015-05-11,43.137,43.465,42.975,42.975,27126075
2015-05-12,42.502,43.258,42.113,42.955,32988761
2015-05-13,43.718,43.835,43.154,43.206,37680497
2015-05-14,43.573,44.291,43.573,44.2,36353577
2015-05-15,44.364,44.364,43.592,43.81,31571778
2015-05-18,43.531,43.747,43.192,43.557,26595961
2015-05-19,43.482,43.656,43.083,43.445,31293637
2015-05-20,43.274,43.766,43.16,43.445,27431165
2015-05-21,43.189,43.464,42.925,43.3,24542913
2015-05-22,43.189,43.237,42.751,42.827,28167743
2015-05-26,42.76,42.807,42.179,42.542,32376534
2015-05-27,42.751,43.62,42.57,43.473,29936515
2015-05-28,43.373,43.846,43.274,43.328,21118404
2015-05-29,43.309,43.436,42.542,42.789,39994240
2015-06-01,42.971,43.62,42.57,43.128,31581133
2015-06-02,42.871,43.237,42.57,42.846,23542853
2015-06-03,43.256,43.592,42.751,42.779,30666431
2015-06-04,42.723,43.063,42.189,42.334,30385416
2015-06-05,42.278,42.479,41.86,42.132,27858364
2015-06-08,42.278,42.396,41.704,41.755,24226416
2015-06-09,41.784,41.948,41.512,41.684,26728088
2015-06-10,41.812,42.76,41.722,42.561,31120887
2015-06-11,42.606,42.846,42.122,42.406,29949827
2015-06-12,42.203,42.433,41.91,41.976,26191548
2015-06-15,41.503,41.684,41.108,41.521,36418583
2015-06-16,41.537,42.22,41.363,41.85,29645972
2015-06-17,41.755,42.067,41.419,41.976,31435114
2015-06-18,42.198,42.733,42.16,42.662,35765657
2015-06-19,42.723,42.76,41.995,42.094,69910931
2015-06-22,42.304,42.662,42.15,42.21,22251209
2015-06-23,42.132,42.258,41.658,41.92,28360457
2015-06-24,41.704,42.22,41.592,41.665,38210686
2015-06-25,42.013,42.058,41.546,41.684,22577453
2015-06-26,41.812,42.258,41.116,41.325,54576895
2015-06-29,41.125,41.3,40.507,40.517,37324488
2015-06-30,40.826,40.834,40.123,40.315,39365496
2015-07-01,40.597,41.3,40.269,40.578,31040751
2015-07-02,40.616,40.86,40.23,40.544,23821650
2015-07-06,40.143,40.616,40.133,40.534,25225518
2015-07-07,40.488,40.625,39.555,40.451,39902577
2015-07-08,40.578,40.999,40.204,40.395,43571431
2015-07-09,40.86,41.292,40.632,40.651,35509720
2015-07-10,41.098,41.219,40.697,40.735,27888699
2015-07-13,41.062,41.658,41.046,41.584,30859396
2015-07-14,41.503,41.968,41.372,41.658,25057251
2015-07-15,41.712,41.9,41.483,41.784,29158997
2015-07-16,42.013,42.635,41.976,42.606,28771278
2015-07-17,42.505,42.715,42.239,42.57,32270824
2015-07-20,42.597,43.035,42.406,42.846,33546451
2015-07-21,42.715,43.217,42.442,43.169,46852494
2015-07-22,41.493,42.854,41.274,41.584,64780606
2015-07-23,41.334,42.21,41.182,42.103,37162737
2015-07-24,41.92,42.296,41.822,41.948,35409623
2015-07-27,41.948,42.013,41.317,41.41,43478890
2015-07-28,41.618,41.675,40.898,41.4,37595211
2015-07-29,41.457,42.715,41.325,42.268,44841761
2015-07-30,42.239,43.282,41.938,42.807,43562558
2015-07-31,43.179,43.256,42.46,42.644,34170136
2015-08-03,42.898,42.915,42.415,42.742,26421340
2015-08-04,42.687,43.563,42.625,43.409,36582199
2015-08-05,43.812,44.205,43.409,43.445,29524740
2015-08-06,43.563,43.62,42.304,42.57,29970984
2015-08-07,42.36,42.715,42.239,42.678,20986314
2015-08-10,42.871,43.365,42.77,43.217,25275784
2015-08-11,42.751,42.863,41.91,42.378,32016103
2015-08-12,42.179,42.827,41.738,42.678,33071811
2015-08-13,42.971,43.007,42.451,42.671,24780120
2015-08-14,42.487,43.007,42.479,42.915,23516539
2015-08-17,42.742,43.328,42.522,43.209,23107286
2015-08-18,43.053,43.595,42.923,43.447,25647988
2015-08-19,42.997,43.274,42.556,42.843,34255375
2015-08-20,42.345,42.711,41.968,41.968,39426185
2015-08-21,41.637,41.802,39.588,39.588,76215776
2015-08-24,37.18,39.807,36.507,38.31,96559674
2015-08-25,39.119,39.744,37.123,37.197,76828850
2015-08-26,38.612,39.377,37.739,39.256,68986194
2015-08-27,39.735,40.395,39.451,40.351,55424828
2015-08-28,39.891,40.579,39.881,40.379,30731649
2015-08-31,40.037,40.379,39.616,40.002,37471532
2015-09-01,38.76,39.148,38.291,38.438,54060077
2015-09-02,38.935,39.873,38.494,39.854,40985578
2015-09-03,39.9,40.423,39.781,39.984,30773537
2015-09-04,39.349,39.559,38.777,39.168,40405903
2015-09-08,39.797,40.441,39.708,40.341,35326159
2015-09-09,40.634,40.81,39.442,39.588,36413806
2015-09-10,39.634,40.249,39.293,39.788,34126046
2015-09-11,39.652,40.064,39.47,39.965,29519429
2015-09-14,39.919,39.927,39.395,39.559,25737092
2015-09-15,39.698,40.708,39.598,40.423,31423054
2015-09-16,40.414,40.792,40.296,40.718,25428217
2015-09-17,40.708,41.36,40.518,40.673,35650875
2015-09-18,39.984,40.432,39.826,39.965,68698535
2015-09-21,40.092,40.872,40.074,40.545,28480089
2015-09-22,39.873,40.488,39.807,40.351,30556701
2015-09-23,40.379,40.598,39.993,40.322,18653557
2015-09-24,39.937,40.562,39.772,40.36,30360535
2015-09-25,40.881,41.112,40.221,40.388,31969653
2015-09-28,40.287,40.518,39.715,39.788,30042619
2015-09-29,39.863,40.045,39.569,39.927,35645807
2015-09-30,40.332,40.718,40.131,40.682,38034231
2015-10-01,41.129,41.129,40.211,41.003,31178914
2015-10-02,40.691,41.886,40.369,41.886,45519708
2015-10-05,42.042,43.101,42.005,42.861,37391895
2015-10-06,42.584,43.357,42.482,42.969,29931010
2015-10-07,43.292,43.523,42.232,43.016,30149357
2015-10-08,42.795,43.669,42.739,43.613,36743788
2015-10-09,43.613,43.696,43.127,43.301,31113201
2015-10-12,43.179,43.265,42.739,43.199,21507340
2015-10-13,42.795,43.319,42.795,43.101,21746187
2015-10-14,42.879,43.292,42.767,42.904,26870505
2015-10-15,43.209,43.227,42.767,43.209,29581227
2015-10-16,43.217,43.696,43.109,43.669,28777216
2015-10-19,43.585,44.01,43.217,43.77,31972898
2015-10-20,43.603,43.944,43.217,43.907,33512001
2015-10-21,44.045,44.109,43.301,43.383,27487315
2015-10-22,43.687,44.991,43.283,44.146,61619529
2015-10-23,48.072,49.698,48.025,48.595,147123340
2015-10-26,48.282,49.928,48.253,49.864,70319290
2015-10-27,49.624,49.975,49.248,49.348,55486518
2015-10-28,49.21,49.617,48.586,49.617,51135496
2015-10-29,49.21,49.475,48.917,49.046,32858963
2015-10-30,49.008,49.624,48.365,48.383,50720978
2015-11-02,48.576,49.046,48.365,48.934,32948591
2015-11-03,48.65,49.994,48.623,49.772,39816472
2015-11-04,49.797,50.442,49.688,50.002,40348147
2015-11-05,50.084,50.276,49.634,49.984,34236773
2015-11-06,49.707,50.535,49.598,50.479,35741222
2015-11-09,50.139,50.432,49.229,49.779,35373343
2015-11-10,49.698,49.755,48.962,49.182,60147067
2015-11-11,49.358,49.817,49.138,49.312,39728644
2015-11-12,49.156,49.617,48.889,49.008,38471816
2015-11-13,48.777,48.982,48.282,48.566,40089742
2015-11-16,48.787,49.532,48.576,49.413,34994763
2015-11-17,49.199,49.533,48.905,49.015,34096987
2015-11-18,49.043,49.949,49.024,49.829,32107225
2015-11-19,49.959,50.578,49.765,49.913,30420487
2015-11-20,50.201,50.246,49.283,50.144,40144949
2015-11-23,50.201,50.394,49.738,50.144,30514187
2015-11-24,49.894,50.376,49.58,50.201,24245650
2015-11-25,50.05,50.182,49.68,49.68,22699948
2015-11-27,49.782,50.04,49.774,49.904,9736021
2015-11-30,50.468,50.856,49.969,50.292,60779377
2015-12-01,50.347,51.105,50.246,51.096,43176361
2015-12-02,51.191,51.782,50.948,51.087,51086850
2015-12-03,51.346,51.605,49.904,50.154,41744004
2015-12-04,50.079,52.032,50.06,51.735,47510913
2015-12-07,51.623,51.792,51.162,51.642,33187590
2015-12-08,51.327,51.911,50.884,51.623,35530872
2015-12-09,51.237,51.7,50.439,50.875,39308066
2015-12-10,51.255,51.495,50.903,51.144,34339710
2015-12-11,50.623,50.987,49.979,50.023,42740545
2015-12-14,50.272,51.087,49.671,51.024,50795313
2015-12-15,51.503,51.727,50.978,51.077,43057725
2015-12-16,51.393,52.042,50.672,51.94,40529348
2015-12-17,52.151,52.549,51.384,51.542,44611754
2015-12-18,51.605,51.82,49.997,50.089,91517046
2015-12-21,50.784,51.217,50.182,50.736,40251612
2015-12-22,50.884,51.336,50.43,51.217,30606228
2015-12-23,51.542,51.709,51.298,51.652,29480939
2015-12-24,51.69,51.782,51.291,51.512,10342183
2015-12-28,51.217,51.773,50.875,51.773,24270396
2015-12-29,52.088,52.607,51.872,52.328,29968982
2015-12-30,52.255,52.541,52.085,52.106,17126420
2015-12-31,51.856,51.995,51.282,51.336,26375938
2016-01-04,50.264,50.709,49.405,50.709,53336346
2016-01-05,50.827,51.255,50.468,50.939,35082856
2016-01-06,50.264,50.339,49.636,50.014,39842759
2016-01-07,48.763,49.49,48.184,48.274,57223233
2016-01-08,48.462,49.303,48.255,48.422,49254903
2016-01-11,48.589,48.905,47.618,48.395,39924655
2016-01-12,48.821,49.136,48.175,48.84,37398645
2016-01-13,49.782,50.031,47.474,47.784,68307157
2016-01-14,48.116,49.429,47.719,49.145,51707481
2016-01-15,47.48,48.09,46.581,47.184,74976202
2016-01-19,47.637,47.822,46.323,46.784,47079613
2016-01-20,46.248,47.544,45.433,46.998,67243785
2016-01-21,47.193,47.727,46.545,46.712,40765617
2016-01-22,47.571,48.422,47.433,48.385,36546421
2016-01-25,48.062,48.72,47.793,47.922,35126125
2016-01-26,47.922,48.524,47.703,48.274,30404573
2016-01-27,48.125,48.303,47.211,47.397,36631796
2016-01-28,47.987,48.312,47.424,48.17,57110405
2016-01-29,50.643,50.948,49.969,50.93,73877786
2016-02-01,50.784,50.978,50.426,50.623,44272256
2016-02-02,50.124,50.21,48.72,49.043,55303807
2016-02-03,49.274,49.405,47.433,48.264,59936820
2016-02-04,48.21,48.868,47.534,48.116,45845565
2016-02-05,48.062,48.116,45.859,46.414,63045067
2016-02-08,45.849,45.869,44.591,45.72,60102382
2016-02-09,45.363,46.489,45.036,45.601,45333811
2016-02-10,46.164,46.627,45.823,45.998,38420181
2016-02-11,45.045,46.37,44.889,45.98,48588680
2016-02-12,46.498,46.897,46.036,46.73,33636774
2016-02-16,47.438,47.615,46.721,47.615,35336020
2016-02-17,47.987,49.179,47.951,48.856,40828920
2016-02-18,48.769,49.348,48.555,48.639,27128716
2016-02-19,48.435,48.725,48.025,48.295,28848385
2016-02-22,48.725,49.397,48.725,49.069,25077514
2016-02-23,48.778,48.807,47.512,47.701,27696014
2016-02-24,47.244,47.997,46.784,47.867,33357299
2016-02-25,48.211,48.555,47.168,48.555,27949722
2016-02-26,49.022,49.097,47.625,47.81,35796667
2016-02-29,47.857,48.136,47.215,47.419,28020849
2016-03-01,47.502,49.013,47.458,49.003,32412010
2016-03-02,48.846,49.358,48.607,49.348,28607900
2016-03-03,49.368,49.368,48.257,48.788,24883503
2016-03-04,48.836,48.882,48.194,48.491,33995534
2016-03-07,48.054,48.276,47.139,47.559,40443382
2016-03-08,47.344,48.584,47.154,48.136,34707329
2016-03-09,48.36,49.255,48.329,49.247,27131929
2016-03-10,49.328,49.338,47.681,48.509,41189485
2016-03-11,49.397,49.46,48.817,49.46,32506669
2016-03-14,49.125,49.945,49.05,49.554,25841328
2016-03-15,49.163,49.945,49.153,49.945,22645064
2016-03-16,49.814,50.886,49.768,50.652,34004720
2016-03-17,50.524,51.26,50.327,50.941,30283833
2016-03-18,51.186,51.232,49.809,49.851,72561073
2016-03-21,49.628,50.261,49.328,50.198,25671902
2016-03-22,49.964,50.561,49.824,50.392,24811826
2016-03-23,50.429,50.552,50.085,50.299,21598104
2016-03-24,50.179,50.633,50.076,50.524,21405994
2016-03-28,50.524,50.597,49.702,49.898,16443681
2016-03-29,50.01,51.129,49.814,50.99,23710484
2016-03-30,51.194,51.855,51.166,51.303,23103717
2016-03-31,51.212,51.809,51.129,51.473,25176001
2016-04-01,51.303,51.828,50.858,51.791,24494349
2016-04-04,51.659,51.872,51.26,51.659,18474638
2016-04-05,51.439,51.539,50.756,50.848,18493671
2016-04-06,50.662,51.446,50.524,51.371,21164004
2016-04-07,51.138,51.176,50.542,50.756,17752373
2016-04-08,50.951,51.519,50.623,50.72,23169969
2016-04-11,50.784,51.399,50.605,50.614,21203794
2016-04-12,50.672,51.052,50.103,50.932,25528041
2016-04-13,51.371,51.666,51.156,51.585,19580231
2016-04-14,51.463,51.796,51.322,51.593,20641845
2016-04-15,51.539,52.116,51.361,51.863,27463737
2016-04-18,51.717,52.74,51.455,52.619,23742993
2016-04-19,52.778,52.909,51.892,52.554,28022572
2016-04-20,52.46,52.657,51.712,51.809,36863815
2016-04-21,52.004,52.404,51.645,51.986,36591317
2016-04-22,48.378,48.865,47.316,48.257,130539723
2016-04-25,48.257,48.584,48.117,48.564,33487052
2016-04-26,48.707,48.788,47.615,47.941,34955582
2016-04-27,47.977,47.997,47.11,47.476,43131173
2016-04-28,47.178,47.316,46.188,46.505,41854430
2016-04-29,45.992,46.832,45.992,46.487,46439120
2016-05-02,46.599,47.298,46.394,47.168,34296567
2016-05-03,46.917,46.981,46.226,46.394,26267331
2016-05-04,46.449,46.655,46.096,46.477,24302944
2016-05-05,46.477,46.88,46.349,46.544,24905905
2016-05-06,46.524,46.961,46.282,46.961,24880892
2016-05-09,47.056,47.144,46.599,46.665,17377070
2016-05-10,46.908,47.625,46.775,47.549,22934227
2016-05-11,47.651,48.257,47.53,47.577,20426044
2016-05-12,47.717,48.286,47.458,48.007,24505671
2016-05-13,47.941,48.365,47.568,47.605,21897739
2016-05-16,47.344,48.425,47.298,48.305,15575899
2016-05-17,48.539,48.548,47.263,47.405,26466661
2016-05-18,47.375,47.995,47.207,47.686,20243982
2016-05-19,47.365,47.506,46.754,47.226,24725336
2016-05-20,47.375,48.07,47.299,47.506,23000642
2016-05-23,47.49,47.563,46.908,46.952,23931192
2016-05-24,47.581,48.53,47.299,48.417,33497495
2016-05-25,48.728,49.261,48.604,48.933,22103881
2016-05-26,48.737,48.781,48.2,48.7,24393117
2016-05-27,48.728,49.094,48.586,49.094,14819677
2016-05-31,49.046,49.742,48.876,49.742,34313334
2016-06-01,49.214,49.693,49.214,49.61,23203964
2016-06-02,49.404,49.495,48.647,49.253,23620940
2016-06-03,49.159,49.195,48.426,48.604,22973155
2016-06-06,48.792,49.131,48.7,48.923,17646241
2016-06-07,49.027,49.485,48.896,48.896,19357481
2016-06-08,48.821,49.214,48.68,48.84,21365350
2016-06-09,48.801,48.801,48.324,48.446,20219805
2016-06-10,47.911,48.85,47.901,48.314,25623787
2016-06-13,46.531,47.596,46.044,47.057,85088348
2016-06-14,46.831,47.019,46.521,46.764,44412607
2016-06-15,46.719,47.038,46.634,46.634,30263234
2016-06-16,46.473,47.365,46.461,47.291,30765850
2016-06-17,47.309,47.327,46.754,47.047,44491596
2016-06-20,47.524,47.706,46.952,46.99,35541824
2016-06-21,47.111,48.266,47.076,48.042,33343669
2016-06-22,47.938,48.295,47.819,47.864,26363634
2016-06-23,48.125,48.86,48.005,48.718,27905178
2016-06-24,46.744,47.806,46.473,46.764,67085878
2016-06-27,46.081,46.124,45.081,45.451,52786687
2016-06-28,45.911,46.428,45.675,46.399,37885558
2016-06-29,46.841,47.6,46.737,47.432,29127246
2016-06-30,47.6,48.145,47.395,48.023,27860008
2016-07-01,47.985,48.539,47.928,48.014,21217779
2016-07-05,47.706,48.125,47.62,48.023,25111909
2016-07-06,47.656,48.37,47.291,48.22,27972597
2016-07-07,48.257,48.436,47.928,48.22,19114134
2016-07-08,48.548,49.14,48.379,49.085,28719039
2016-07-11,49.271,49.582,49.244,49.356,19330166
